"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"462508","occ","","","6802","n. gen. Cynthiacetus n. sp. maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"462509","occ","","","45628","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12018","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462675","occ","21543","","45041","Dorudon ? sp.","genus","36709","","Dorudon","genus","36709","Late Eocene","","37.71","33.9","29544","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"462676","occ","","","45629","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462677","occ","","","45630","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462678","occ","","","45631","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462679","occ","","","45632","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462680","occ","","","45633","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462681","occ","","","45634","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462684","occ","19745","","45637","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462685","occ","","","45638","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","12023","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462726","occ","","","45639","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","37.71","33.9","12026","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","106"
"462790","occ","26450","","45640","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"462791","occ","26451","","45640","Dorudon sp.","genus","36709","","Dorudon","genus","36709","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
