"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"6121","occ","","","462","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Llandovery","","443.8","433.4","13433","62"
"6204","occ","","","463","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Llandovery","","443.8","433.4","27610","62"
"6205","occ","","","463","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Llandovery","","443.8","433.4","27610","62"
"6313","occ","","","468","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Silurian","","443.8","419.2","61163","20"
"6348","occ","","","470","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Wenlock","","433.4","427.4","61273","61"
"6433","occ","","","472","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Wenlock","","433.4","427.4","61273","61"
"6484","occ","","","473","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Wenlock","","433.4","427.4","61273","61"
"6485","occ","","","473","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Wenlock","","433.4","427.4","61273","61"
"6526","occ","","","474","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Wenlock","","433.4","427.4","61273","61"
"6556","occ","","","475","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Niagaran","","440.1","422.5","61149","20"
"6583","occ","","","476","Orthocerida indet.","order","12444","","Orthocerida","order","12444","Sheinwoodian","","433.4","430.5","17053","188"
"6635","occ","","","478","Kionoceras caniculatum","species","12529","species not entered","Kionoceras","genus","12529","Ludlow","","427.4","423","25317","60"
"6798","occ","","","482","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Ludlow","","427.4","423","25317","60"
"6799","occ","","","482","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Ludlow","","427.4","423","25317","60"
"6818","occ","","","484","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Ludlow","","427.4","423","61114","60"
"6822","occ","","","485","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Ludlow","","427.4","423","61114","60"
"6838","occ","","","486","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Silurian","","443.8","419.2","6660","20"
"6914","occ","","","491","Dawsonoceras oconnellae","species","12489","species not entered","Dawsonoceras","genus","12489","Pridoli","","423","419.2","60939","59"
"6917","occ","","","491","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Pridoli","","423","419.2","60939","59"
"6991","occ","","","493","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Pridoli","","423","419.2","60939","59"
"6993","occ","","","493","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Pridoli","","423","419.2","60939","59"
"6994","occ","","","493","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Pridoli","","423","419.2","60939","59"
"7040","occ","","","496","Aptychopsis sp.","genus","22259","","Aptychopsis","genus","22259","Llandovery","","443.8","433.4","61176","62"
"7184","occ","","","501","Kionoceras ? sp.","genus","12529","","Kionoceras","genus","12529","Wenlock","","433.4","427.4","17054","61"
"7681","occ","","","529","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Gorstian","","427.4","425.6","25317","185"
"7720","occ","","","531","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Silurian","","443.8","419.2","27610","20"
"7973","occ","","","541","Dawsonoceras sp.","genus","12489","","Dawsonoceras","genus","12489","Wenlock","","433.4","427.4","13433","61"
"7975","occ","","","541","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Wenlock","","433.4","427.4","13433","61"
"7976","occ","","","541","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Wenlock","","433.4","427.4","13433","61"
"7977","occ","","","541","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Wenlock","","433.4","427.4","13433","61"
"7999","occ","","","542","Michelinoceras ? sp.","genus","12542","","Michelinoceras","genus","12542","Pridoli","","423","419.2","60939","59"
"8000","occ","","","542","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Pridoli","","423","419.2","60939","59"
"8673","occ","","","562","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Chadian","Arundian","346.7","340.2","61509","54"
"9548","occ","","","443","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Llandovery","","443.8","433.4","61474","62"
"9589","occ","","","444","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Llandovery","","443.8","433.4","61474","62"
"9621","occ","","","445","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Llandovery","","443.8","433.4","61474","62"
"9648","occ","","","446","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Llandovery","","443.8","433.4","61474","62"
"9743","occ","","","450","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Llandovery","","443.8","433.4","61272","62"
"10009","occ","","","584","""Orthoceras"" wapanuckense","species","298488","recombined as","Michelinoceras wapanuckense","species","298488","Chesterian","","335.8","323.2","61510","28"
"10215","occ","","","593","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Lochkovian","","419.2","410.8","15806","183"
"10216","occ","","","593","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Lochkovian","","419.2","410.8","15806","183"
"10254","occ","","","594","Orthocerida indet.","order","12444","","Orthocerida","order","12444","Lochkovian","","419.2","410.8","60985","183"
"10330","occ","","","597","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Pragian","","410.8","407.6","15806","182"
"10444","occ","","","602","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Pragian","","410.8","407.6","27289","182"
"10545","occ","","","604","Orthoceras trusitum","species","12557","species not entered","Orthoceras","genus","12557","Emsian","","407.6","393.3","13440","181"
"10602","occ","","","608","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Emsian","","407.6","393.3","13441","181"
"10656","occ","","","610","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Eifelian","","393.3","387.7","16090","180"
"10723","occ","","","615","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Eifelian","","393.3","387.7","60924","180"
"10966","occ","","","627","Orthocerida indet.","order","12444","","Orthocerida","order","12444","Givetian","","387.7","382.7","841","179"
"11175","occ","","","644","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","13436","177"
"11552","occ","","","669","Orthocerida indet.","order","12444","","Orthocerida","order","12444","Givetian","","387.7","382.7","841","179"
"11609","occ","","","670","Orthocerida indet.","order","12444","","Orthocerida","order","12444","Givetian","","387.7","382.7","841","179"
"34877","occ","","","2517","Bogoslovskya pseudostenomphala","species","12466","species not entered","Bogoslovskya","genus","12466","Berriasian","","145","139.8","73","123"
"34889","occ","","","2518","Bogoslovskya pseudostenomphala","species","12466","species not entered","Bogoslovskya","genus","12466","Berriasian","","145","139.8","73","123"
"34907","occ","","","2519","Bogoslovskya pseudostenomphala","species","12466","species not entered","Bogoslovskya","genus","12466","Berriasian","","145","139.8","73","123"
"34965","occ","","","2524","Bogoslovskya pseudostenomphala","species","12466","species not entered","Bogoslovskya","genus","12466","Berriasian","","145","139.8","73","123"
"36737","occ","","","2774","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Brigantian","Pendleian","336.3","327.4","121","28"
"37769","occ","","","2661","Bactroceras sp.","genus","12332","","Bactroceras","genus","12332","Onnian","Eastonian","453.2","449","78","29"
"37780","occ","","","2685","Anaspyroceras sp.","genus","12450","","Anaspyroceras","genus","12450","Gisbornian","Eastonian","458.4","449","80","29"
"37876","occ","","","2691","Gorbyoceras sp.","genus","12513","","Gorbyoceras","genus","12513","Gisbornian","Harnagian","458.4","457.4","81","1009"
"37877","occ","","","2691","Mysterioceras sp.","genus","12548","","Mysterioceras","genus","12548","Gisbornian","Harnagian","458.4","457.4","81","1009"
"37977","occ","","","2699","Gorbyoceras sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","86","1008"
