"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"1488022","occ","","","207079","n. gen. Vorobjevaia n. sp. dolonodon","species","401828","","Vorobjevaia dolonodon","species","401828","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Vorobjevaia","179"
"1488023","occ","","","207080","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488029","occ","","","207086","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488030","occ","","","207087","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488031","occ","","","207088","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1488038","occ","","","207098","n. gen. Platyethmoidia n. sp. antarctica","species","401826","","Platyethmoidia antarctica","species","401826","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Platyethmoidia","179"
"1488039","occ","","","207098","Eusthenopteridae indet.","family","401830","","Eusthenopteridae","family","401830","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","","179"
"1488041","occ","","","207099","n. gen. Notorhizodon n. sp. mackelveyi","species","401829","","Notorhizodon mackelveyi","species","401829","Givetian","","387.95","382.31","71285","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Notorhizodon","179"
"1505502","occ","","","210080","n. gen. Bruehnopteron n. sp. murphyi","species","419360","","Bruehnopteron murphyi","species","419360","Givetian","","387.95","382.31","72429","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Bruehnopteron","179"
"1530215","occ","","","196710","n. gen. Marsdenichthys n. sp. longioccipitus","species","242718","","Marsdenichthys longioccipitus","species","242718","Late Givetian","","383.4","382.31","42425","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Marsdenichthys","179"
"1565344","occ","","","99375","Rabdiolepis n. sp. gwyneddensis","species","439497","","Rabdiolepis gwyneddensis","species","439497","Norian","","227.3","205.7","77283","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rabdiolepis","136"
"1565345","occ","","","99375","Rabdiolepis n. sp. striata","species","439498","","Rabdiolepis striata","species","439498","Norian","","227.3","205.7","77283","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rabdiolepis","136"
"1595932","occ","","","176224","Eusthenodon sp.","genus","242710","","Eusthenodon","genus","242710","Late Famennian","","365.2","358.86","66184","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1596059","occ","","","225666","Osteolepiformes indet.","order","149977","","Osteolepiformes","order","149977","Late Famennian","","365.2","358.86","66184","Chordata","Osteichthyes","Osteolepiformes","","","177"
"1596060","occ","","","225666","Eusthenodon sp.","genus","242710","","Eusthenodon","genus","242710","Late Famennian","","365.2","358.86","66184","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1596478","occ","","","211928","Megalichthyidae ? indet.","family","242672","","Megalichthyidae","family","242672","Late Devonian","","382.31","358.86","73166","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","","56"
"1596479","occ","","","211928","Tristichopteridae ? indet.","family","209245","","Tristichopteridae","family","209245","Late Devonian","","382.31","358.86","73166","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","","56"
"1597133","occ","","","225777","Panderichthys rhombolepis","species","229336","","Panderichthys rhombolepis","species","229336","Late Givetian","","383.4","382.31","81769","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Panderichthys","179"
"1597137","occ","","","225777","Eusthenopteron kurshi","species","34918","species not entered","Eusthenopteron","genus","34918","Late Givetian","","383.4","382.31","61835","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","179"
"1597182","occ","","","225778","Panderichthys sp.","genus","34944","","Panderichthys","genus","34944","Late Givetian","","383.4","382.31","61835","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Panderichthys","179"
"1597424","occ","","","225793","Thursius fischeri","species","416055","","Thursius fischeri","species","416053","Eifelian","","393.47","387.95","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","180"
"1597463","occ","","","225796","Thursius fischeri","species","416055","","Thursius fischeri","species","416053","Eifelian","","393.47","387.95","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","180"
"1597464","occ","","","225796","Gyroptychius ? grossi","species","34923","species not entered","Gyroptychius","genus","34923","Eifelian","","393.47","387.95","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1597477","occ","","","225797","Thursius fischeri","species","416055","","Thursius fischeri","species","416053","Eifelian","","393.47","387.95","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","180"
"1597478","occ","","","225797","Gyroptychius ? grossi","species","34923","species not entered","Gyroptychius","genus","34923","Eifelian","","393.47","387.95","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1597609","occ","","","225804","Gyroptychius pauli","species","416084","","Gyroptychius pauli","species","416084","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1598045","occ","","","225803","Thursius estonicus","species","416057","","Thursius estonicus","species","416057","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","179"
"1598046","occ","","","225803","Gyroptychius pauli","species","416084","","Gyroptychius pauli","species","416084","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1598069","occ","","","225802","Thursius estonicus","species","416057","","Thursius estonicus","species","416057","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","179"
"1598070","occ","","","225802","Gyroptychius pauli","species","416084","","Gyroptychius pauli","species","416084","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1598088","occ","","","225850","Thursius estonicus","species","416057","","Thursius estonicus","species","416057","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","179"
