"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"461438","occ","","","45527","n. gen. Ambulocetus n. sp. natans","species","62971","","Ambulocetus natans","species","62971","Lutetian","","47.8","41.2","11943","Chordata","Mammalia","Cetacea","Ambulocetidae","Ambulocetus","108"
"856567","occ","","","49002","Gandakasia potens","species","62973","","Gandakasia potens","species","62973","Lutetian","","47.8","41.2","12020","Chordata","Mammalia","Cetacea","Ambulocetidae","Gandakasia","108"
"856572","occ","","","95147","Ambulocetus natans","species","62971","","Ambulocetus natans","species","62971","Lutetian","","47.8","41.2","11996","Chordata","Mammalia","Cetacea","Ambulocetidae","Ambulocetus","108"
"856573","occ","","","95148","n. gen. Gandakasia n. sp. potens","species","62973","","Gandakasia potens","species","62973","Lutetian","","47.8","41.2","11944","Chordata","Mammalia","Cetacea","Ambulocetidae","Gandakasia","108"
