"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"778913","occ","","","48516","Coelacanthidae ? indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","32312","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"780620","occ","22726","","84009","Chinlea ? sp.","genus","161891","","Chinlea","genus","161891","Rhaetian","","205.7","201.4","28148","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Chinlea","135"
"780667","occ","22731","","84017","Chinlea ? sp.","genus","161891","","Chinlea","genus","161891","Norian","","227.3","205.7","28148","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Chinlea","136"
"782192","occ","","","84270","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Carnian","Norian","237","205.7","12932","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","44"
"786949","occ","","","84950","Palaeoctopus n. sp. pelagicus","species","136375","nomen dubium","Latimeroidei","suborder","202305","Early Turonian","","93.9","89.8","28512","Chordata","Coelacanthimorpha","Coelacanthiformes","","","116"
"789044","occ","","","85300","Spermatodus pustulosus","species","137511","","Spermatodus pustulosus","species","137511","Artinskian","Kungurian","290.1","274.4","28758","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Spermatodus","773"
"789049","occ","","","85299","Spermatodus pustulosus","species","137511","","Spermatodus pustulosus","species","137511","Artinskian","Kungurian","290.1","274.4","28758","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Spermatodus","773"
"799816","occ","","","87056","n. gen. Megalocoelacanthus n. sp. dobiei","species","142486","","Megalocoelacanthus dobiei","species","142486","Late Santonian","Middle Campanian","85.7","72.2","29295","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Megalocoelacanthus","39"
"799817","occ","","","35289","Megalocoelacanthus dobiei","species","142486","","Megalocoelacanthus dobiei","species","142486","Late Santonian","Middle Campanian","85.7","72.2","29295","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Megalocoelacanthus","39"
"799818","occ","","","87057","Megalocoelacanthus dobiei","species","142486","","Megalocoelacanthus dobiei","species","142486","Santonian","","85.7","83.6","29295","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Megalocoelacanthus","114"
"799819","occ","","","57915","Megalocoelacanthus dobiei","species","142486","","Megalocoelacanthus dobiei","species","142486","Maastrichtian","","72.2","66","29295","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Megalocoelacanthus","112"
"818657","occ","","","89992","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","30141","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"820766","occ","","","90266","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","21336","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"820767","occ","","","90264","Coelacanthus granulatus","species","149735","","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","21336","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"820768","occ","","","90266","Coelacanthus caudalis","species","149738","subjective synonym of","Coelacanthus granulatus","species","149735","Wuchiapingian","","259.51","254.14","21336","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","716"
"820877","occ","","","90301","Whiteia sp.","genus","34959","","Whiteia","genus","34959","Smithian","","249.9","248.1","30315","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Whiteia","652"
"823277","occ","","","90673","Coelacanthiformes indet.","order","80820","","Coelacanthiformes","order","80820","Bucklandi","","199.5","192.9","30507","Chordata","Coelacanthimorpha","Coelacanthiformes","","","133"
"837353","occ","","","92850","cf. Chinlea sp.","genus","161891","","Chinlea","genus","161891","Norian","","227.3","205.7","31343","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Chinlea","136"
"842147","occ","","","93444","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","14122","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"843212","occ","","","83738","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","31760","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"843407","occ","","","93682","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Norian","","227.3","205.7","31760","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"846305","occ","","","62311","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Lacian","Sevatian","227.3","205.7","31988","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","136"
"850585","occ","","","94537","Mawsonia gigas","species","68075","","Mawsonia gigas","species","68075","Late Hauterivian","Early Barremian","132.6","121.4","14673","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Mawsonia","40"
"855794","occ","","","95112","Moenkopia wellesi","species","165284","","Moenkopia wellesi","species","165284","Aegean","Bithynian","246.7","244.24","32378","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Moenkopia","139"
"856005","occ","","","34888","n. gen. Moenkopia n. sp. wellesi","species","165284","","Moenkopia wellesi","species","165284","Aegean","Bithynian","246.7","244.24","43345","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Moenkopia","139"
"896001","occ","","","99375","Diplurus longicaudatus","species","320875","","Diplurus longicaudatus","species","320875","Norian","","227.3","205.7","34162","Chordata","Coelacanthimorpha","Coelacanthiformes","Dipluridae","Diplurus","136"
"897306","occ","33766","","12856","cf. Diplurus longicaudatus","species","320875","","Diplurus longicaudatus","species","320875","Norian","","227.3","205.7","34235","Chordata","Coelacanthimorpha","Coelacanthiformes","Dipluridae","Diplurus","136"
"913314","occ","","","83370","Holophagus sp.","genus","34928","","Holophagus","genus","34928","Alaunian","","215.38","211.18","34905","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Holophagus","136"
"915847","occ","","","55493","Diplurus cf. newarki","species","320876","","Diplurus newarki","species","320876","Norian","","227.3","205.7","34881","Chordata","Coelacanthimorpha","Coelacanthiformes","Dipluridae","Diplurus","136"
"929788","occ","","","101873","Actinistia indet.","class","67349","subjective synonym of","Coelacanthimorpha","class","219194","Longobardian","","239.48","237","33823","Chordata","Coelacanthimorpha","","","","138"
"945393","occ","","","109710","Alcoveria sp.","genus","34901","","Alcoveria","genus","34901","Longobardian","","239.48","237","36263","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Alcoveria","138"
"947691","occ","","","69791","Mawsoniidae indet.","family","202304","","Mawsoniidae","family","202304","Hauterivian","Barremian","132.6","121.4","36372","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","","40"
"961994","occ","","","112725","Laugia groenlandica","species","205719","","Laugia groenlandica","species","205719","Griesbachian","","251.902","250.5","36698","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Laugiidae","Laugia","653"
"962015","occ","","","112730","Laugia groenlandica","species","205719","","Laugia groenlandica","species","205719","Griesbachian","","251.902","250.5","36698","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Laugiidae","Laugia","653"
"966056","occ","","","113891","Coelacanthidae indet.","family","68076","","Coelacanthidae","family","68076","Carnian","","237","227.3","36982","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","","137"
