"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"22809","occ","","","1468","Amoeboceras sp.","genus","14544","","Amoeboceras","genus","14544","Oxfordian","","161.5","154.8","41","126"
"22822","occ","","","1464","Amoeboceras sp.","genus","14544","","Amoeboceras","genus","14544","Oxfordian","","161.5","154.8","41","126"
"23077","occ","","","1405","Amoeboceras sp.","genus","14544","","Amoeboceras","genus","14544","Oxfordian","","161.5","154.8","41","126"
"32272","occ","","","2450","Sunites n. sp. sp.","genus","13902","","Sunites","genus","13902","Berriasian","","145","139.8","73","123"
"32529","occ","","","2463","Sunites n. sp. sp.","genus","13902","","Sunites","genus","13902","Berriasian","","145","139.8","73","123"
"34307","occ","","","2481","Sunites ? sp.","genus","13902","","Sunites","genus","13902","Berriasian","","145","139.8","73","123"
"42253","occ","","","3309","Goniatites sp.","genus","13727","","Goniatites","genus","13727","Tournaisian","","358.9","346.7","146","55"
"51236","occ","","","3954","Sporadoceras muensteri","species","250027","","Sporadoceras muensteri","species","250026","Late Famennian","","365.3","358.9","273","177"
"51237","occ","","","3954","Imitoceras substriatum","species","13743","species not entered","Imitoceras","genus","13743","Late Famennian","","365.3","358.9","273","177"
"51241","occ","","","3957","Cheiloceras subpartitum","species","250023","recombined as","Cheiloceras (Cheiloceras) subpartitum","species","250022","Famennian","","372.2","358.9","273","177"
"51242","occ","","","3957","Sporadoceras biferum","species","298700","recombined as","Sporadoceras (Sporadoceras) biferum","species","298699","Famennian","","372.2","358.9","273","177"
"51243","occ","","","3957","Sporadoceras latilobatum","species","298701","recombined as","Sporadoceras (Sporadoceras) latilobatum","species","298701","Famennian","","372.2","358.9","273","177"
"51244","occ","","","3957","Sporadoceras pompeckji","species","13890","species not entered","Sporadoceras","genus","13890","Famennian","","372.2","358.9","273","177"
"51245","occ","","","3957","Sporadoceras rotundum","species","297921","recombined as","Sporadoceras (Sporadoceras) rotundum","species","297921","Famennian","","372.2","358.9","273","177"
"51246","occ","","","3958","Sporadoceras contiguum","species","13890","species not entered","Sporadoceras","genus","13890","Famennian","","372.2","358.9","273","177"
"51247","occ","","","3958","Sporadoceras muensteri","species","250027","","Sporadoceras muensteri","species","250026","Famennian","","372.2","358.9","273","177"
"51249","occ","","","3958","Tornoceras (Protornoceras) planidorsatum","species","346114","recombined as","Armatites planidorsatus","species","346110","Famennian","","372.2","358.9","273","177"
"51250","occ","","","3958","Tornoceras (Protornoceras) planidorsatum","species","346114","recombined as","Armatites planidorsatus","species","346110","Famennian","","372.2","358.9","273","177"
"51251","occ","","","3958","Sinotites sp.","genus","13885","","Sinotites","genus","13885","Famennian","","372.2","358.9","273","177"
"67685","occ","","","4705","Tornoceras sp.","genus","13918","","Tornoceras","genus","13918","Early Frasnian","","382.7","379.3","274","178"
"74386","occ","","","5455","Amoeboceras (Prionodoceras) sp.","subgenus","14544","obsolete variant of","Amoeboceras","genus","14544","Late Oxfordian","Early Kimmeridgian","157.9","152.2","313",""
"74431","occ","","","5467","Amoeboceras (Prionodoceras) sp.","subgenus","14544","obsolete variant of","Amoeboceras","genus","14544","Late Oxfordian","Early Kimmeridgian","157.9","152.2","313",""
"74441","occ","","","5470","Amoeboceras (Prionodoceras) sp.","subgenus","14544","obsolete variant of","Amoeboceras","genus","14544","Late Oxfordian","Early Kimmeridgian","157.9","152.2","313",""
"74663","occ","","","5508","Goniocyclus sp.","genus","13728","","Goniocyclus","genus","13728","Kinderhookian","","358.9","351.9","324","55"
"74664","occ","","","5508","Imitoceras sp.","genus","13743","","Imitoceras","genus","13743","Kinderhookian","","358.9","351.9","324","55"
"74665","occ","","","5508","Zadelsdorfia ? sp.","genus","13944","","Zadelsdorfia","genus","13944","Kinderhookian","","358.9","351.9","324","55"
"74666","occ","","","5508","aff. Muensteroceras sp.","genus","13782","","Muensteroceras","genus","13782","Kinderhookian","","358.9","351.9","324","55"
"74717","occ","","","5516","Gattendorfia sp.","genus","13720","","Gattendorfia","genus","13720","Hastarian","Ivorian","358.9","346.7","326","55"
"74718","occ","","","5516","Muensteroceras complanatum","species","298661","","Muensteroceras complanatum","species","298660","Hastarian","Ivorian","358.9","346.7","326","55"
"74719","occ","","","5516","Muensteroceras cf. rotella","species","13782","species not entered","Muensteroceras","genus","13782","Hastarian","Ivorian","358.9","346.7","326","55"
"74720","occ","","","5516","Muensteroceras sp.","genus","13782","","Muensteroceras","genus","13782","Hastarian","Ivorian","358.9","346.7","326","55"
"74721","occ","","","5516","Ammonellipsites princeps","species","298663","","Ammonellipsites princeps","species","298662","Hastarian","Ivorian","358.9","346.7","326","55"
"74722","occ","","","5516","Ammonellipsites aff. asiaticus","species","298665","","Ammonellipsites asiaticus","species","298664","Hastarian","Ivorian","358.9","346.7","326","55"
"74723","occ","","","5516","Ammonellipsites sp.","genus","13616","","Ammonellipsites","genus","13616","Hastarian","Ivorian","358.9","346.7","326","55"
"74878","occ","","","5535","Neoglyphioceras subcirculare","species","299053","recombined as","Lusitanites subcircularis","species","278423","Asbian","Brigantian","340.2","330.9","331","54"
"74879","occ","","","5535","Goniatites granosus","species","157686","","Goniatites granosus","species","157686","Asbian","Brigantian","340.2","330.9","331","54"
"74882","occ","","","5536","Goniatites schaelkensis","species","13727","species not entered","Goniatites","genus","13727","Brigantian","","336.3","330.9","331","54"
"74883","occ","","","5536","Eumorphoceras tornquisti","species","316248","","Eumorphoceras tornquisti","species","316247","Brigantian","","336.3","330.9","331","54"
"74884","occ","","","5536","Eumorphoceras ? pseudocoronula","species","316242","","Eumorphoceras pseudocoronula","species","316242","Brigantian","","336.3","330.9","331","54"
"74885","occ","","","5537","Cravenoceras leion","species","316570","","Cravenoceras leion","species","316570","Pendleian","","330.9","327.4","331","53"
"74886","occ","","","5537","Eumorphoceras dichalocium","species","13708","species not entered","Eumorphoceras","genus","13708","Pendleian","","330.9","327.4","331","53"
"74887","occ","","","5537","Eumorphoceras pseudocoronula","species","316242","","Eumorphoceras pseudocoronula","species","316242","Pendleian","","330.9","327.4","331","53"
"74888","occ","","","5538","Peytonoceras ? involutum","species","13828","species not entered","Peytonoceras","genus","13828","Pendleian","","330.9","327.4","331","53"
"74889","occ","","","5539","Eumorphoceras pseudocoronula","species","316242","","Eumorphoceras pseudocoronula","species","316242","Pendleian","","330.9","327.4","331","53"
"74890","occ","","","5539","Eumorphoceras medusa","species","316238","","Eumorphoceras medusa","species","316238","Pendleian","","330.9","327.4","331","53"
"74891","occ","","","5539","Eumorphoceras medusa","species","316238","","Eumorphoceras medusa","species","316238","Pendleian","","330.9","327.4","331","53"
