"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"302810","occ","","","29216","Bulogites aff. zoldianus","species","425240","","Bulogites zoldianus","species","423555","Anisian","","247.2","242","8365","139"
"302811","occ","","","29217","Paraceratites cimeganus","species","14283","species not entered","Paraceratites","genus","14283","Anisian","","247.2","242","8365","139"
"302812","occ","","","29217","Bulogites aff. zoldianus","species","425240","","Bulogites zoldianus","species","423555","Anisian","","247.2","242","8365","139"
"302813","occ","","","29219","Paraceratites cimeganus","species","14283","species not entered","Paraceratites","genus","14283","Anisian","","247.2","242","8365","139"
"302814","occ","","","29219","Ptychites cf. opulentus","species","266508","","Ptychites opulentus","species","266508","Anisian","","247.2","242","8365","139"
"302815","occ","","","29220","Bulogites aff. zoldianus","species","425240","","Bulogites zoldianus","species","423555","Anisian","","247.2","242","8365","139"
"302816","occ","","","29221","Bulogites aff. zoldianus","species","425240","","Bulogites zoldianus","species","423555","Anisian","","247.2","242","8365","139"
"302817","occ","","","29222","Bulogites aff. zoldianus","species","425240","","Bulogites zoldianus","species","423555","Anisian","","247.2","242","8365","139"
"302818","occ","","","29223","Bulogites sp.","genus","14065","","Bulogites","genus","14065","Anisian","","247.2","242","8365","139"
"302819","occ","","","29224","Ptychites cf. opulentus","species","266508","","Ptychites opulentus","species","266508","Anisian","","247.2","242","8365","139"
"333559","occ","","","31367","Otoceras boreale","species","175414","subjective synonym of","Otoceras woodwardi","species","188046","Induan","","251.902","251.2","8474","653"
"333560","occ","","","31367","Tompophiceras cf. gracile","species","14429","species not entered","Tompophiceras","genus","14429","Induan","","251.902","251.2","8474","653"
"333677","occ","","","31369","Bajarunia ex gr. euomphala","species","181576","","Bajarunia euomphala","species","181575","Olenekian","","251.2","247.2","8474","652"
"333678","occ","","","31369","Keyserlingites sp.","genus","14199","","Keyserlingites","genus","14199","Olenekian","","251.2","247.2","8474","652"
"333679","occ","","","31369","Keyserlingites subrobustus","species","181437","","Keyserlingites subrobustus","species","181435","Olenekian","","251.2","247.2","8474","652"
"333680","occ","","","31369","Svalbardiceras spitzbergense","species","14418","species not entered","Svalbardiceras","genus","14418","Olenekian","","251.2","247.2","8474","652"
"333683","occ","","","31369","Parasibirites cf. elegans","species","14306","species not entered","Parasibirites","genus","14306","Olenekian","","251.2","247.2","8474","652"
"334908","occ","","","31423","Glyptophiceras spp.","genus","82360","","Glyptophiceras","genus","82360","Griesbachian","Dienerian","251.902","251.2","8490","653"
"336739","occ","","","31611","Paraceratites ? indet.","genus","14283","","Paraceratites","genus","14283","Pelsonian","Illyrian","244.7","242","8524","139"
"336962","occ","","","31612","Judicarites sp.","genus","14191","","Judicarites","genus","14191","Pelsonian","Illyrian","244.7","242","8524","139"
"340011","occ","","","31617","Ptychites ? sp.","genus","14377","","Ptychites","genus","14377","Pelsonian","Illyrian","244.7","242","8524","139"
"340012","occ","","","31617","Gymnites sp. A informal","genus","14149","obsolete variant of","Gymnites","genus","14149","Pelsonian","Illyrian","244.7","242","8524","139"
"342307","occ","","","31618","Paraceratites brembanus","species","277796","","Paraceratites brembanus","species","277795","Pelsonian","Illyrian","244.7","242","8524","139"
"342435","occ","","","31619","Bulogites multicostatus","species","207590","","Bulogites multicostatus","species","207590","Pelsonian","Illyrian","244.7","242","8524","139"
"342436","occ","","","31619","Paraceratites ? indet.","genus","14283","","Paraceratites","genus","14283","Pelsonian","Illyrian","244.7","242","8524","139"
"343240","occ","","","31620","Ptychites ? indet.","genus","14377","","Ptychites","genus","14377","Pelsonian","Illyrian","244.7","242","8524","139"
"343241","occ","","","31620","Paraceratites brembanus","species","277796","","Paraceratites brembanus","species","277795","Pelsonian","Illyrian","244.7","242","8524","139"
"345061","occ","","","32521","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"345138","occ","","","32538","Klamathites macrolobatus","species","14205","species not entered","Klamathites","genus","14205","Tuvalian","","233.4","227","8769","137"
"345147","occ","","","32540","Klamathites macrolobatus","species","14205","species not entered","Klamathites","genus","14205","Tuvalian","","233.4","227","8769","137"
"345148","occ","","","32540","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Tuvalian","","233.4","227","8769","137"
"345149","occ","","","32540","Tropites crassicostatus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"345150","occ","","","32540","Tropites latiumbilicatus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"345151","occ","","","32540","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"345152","occ","","","32540","Tropites sp.","genus","14441","","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"345160","occ","","","32541","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"345173","occ","","","32543","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"345178","occ","","","32546","cf. Guembelites sp.","genus","14148","","Guembelites","genus","14148","Carnian","","237","227","8769","137"
"345179","occ","","","32546","cf. Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Carnian","","237","227","8769","137"
"345182","occ","","","32548","cf. Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"345246","occ","","","32549","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Norian","","227","208.5","8769","136"
"345247","occ","","","32549","Guembelites jandianus","species","252259","","Guembelites jandianus","species","252258","Norian","","227","208.5","8769","136"
"345248","occ","","","32549","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"345249","occ","","","32549","cf. Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"345250","occ","","","32549","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Norian","","227","208.5","8769","136"
"345252","occ","","","32549","Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Norian","","227","208.5","8769","136"
"345253","occ","","","32549","cf. Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Norian","","227","208.5","8769","136"
"345255","occ","","","32549","Tropites sp.","genus","14441","","Tropites","genus","14441","Norian","","227","208.5","8769","136"
"345260","occ","","","32551","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Norian","","227","208.5","8769","136"
"345261","occ","","","32551","Guembelites jandianus","species","252259","","Guembelites jandianus","species","252258","Norian","","227","208.5","8769","136"
"345262","occ","","","32551","cf. Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"345263","occ","","","32551","cf. Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Norian","","227","208.5","8769","136"
"346858","occ","","","32725","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"346859","occ","","","32725","Klamathites schucherti","species","267202","","Klamathites schucherti","species","267202","Carnian","","237","227","8769","137"
"346860","occ","","","32725","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"346879","occ","","","32727","Tropites latiumbilicatus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346880","occ","","","32727","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346881","occ","","","32727","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346888","occ","","","32728","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Carnian","","237","227","8769","137"
"346890","occ","","","32728","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"346891","occ","","","32728","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"346892","occ","","","32728","Tropites crassicostatus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346893","occ","","","32728","Tropites latiumbilicatus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346894","occ","","","32728","Tropites nevadanus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346895","occ","","","32728","Tropites nodosus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346896","occ","","","32728","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346897","occ","","","32728","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346900","occ","","","32729","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"346901","occ","","","32729","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"346920","occ","","","32731","Klamathites macrolobatus","species","14205","species not entered","Klamathites","genus","14205","Tuvalian","","233.4","227","8769","137"
"346923","occ","","","32731","Tropites crassicostatus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"346924","occ","","","32731","Tropites latiumbilicatus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"346925","occ","","","32731","Tropites nevadanus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"346926","occ","","","32731","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"346927","occ","","","32731","Tropites sp.","genus","14441","","Tropites","genus","14441","Tuvalian","","233.4","227","8769","137"
"346934","occ","","","32734","Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Carnian","","237","227","8769","137"
"346955","occ","","","32738","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"346957","occ","","","32739","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Carnian","","237","227","8769","137"
"346976","occ","","","32742","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"347025","occ","","","32753","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347157","occ","","","32773","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"347158","occ","","","32773","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"347160","occ","","","32773","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347331","occ","","","32795","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"347372","occ","","","32799","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"347382","occ","","","32801","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347385","occ","","","32803","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347394","occ","","","32805","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347398","occ","","","32807","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347421","occ","","","32811","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Carnian","","237","227","8769","137"
"347422","occ","","","32811","Juvavites sp.","genus","14192","","Juvavites","genus","14192","Carnian","","237","227","8769","137"
"347423","occ","","","32811","Klamathites sp.","genus","14205","","Klamathites","genus","14205","Carnian","","237","227","8769","137"
"347445","occ","","","32816","Tropites crassicostatus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347446","occ","","","32816","Tropites latiumbilicatus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347447","occ","","","32816","Tropites nevadanus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347448","occ","","","32816","Tropites subquadratus","species","14441","species not entered","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347449","occ","","","32816","Tropites sp.","genus","14441","","Tropites","genus","14441","Carnian","","237","227","8769","137"
"347460","occ","","","32819","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Carnian","","237","227","8769","137"
"347461","occ","","","32819","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Carnian","","237","227","8769","137"
"347464","occ","","","32820","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Carnian","","237","227","8769","137"
"347465","occ","","","32820","Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Carnian","","237","227","8769","137"
"347472","occ","","","32822","Arcestes sp.","genus","14031","","Arcestes","genus","14031","Norian","","227","208.5","8769","136"
"347473","occ","","","32822","Guembelites sp.","genus","14148","","Guembelites","genus","14148","Norian","","227","208.5","8769","136"
"347475","occ","","","32822","Mojsisovicsites sp.","genus","14243","","Mojsisovicsites","genus","14243","Norian","","227","208.5","8769","136"
"348139","occ","","","32892","Rhaetites rhaeticus","species","356890","","Rhaetites rhaeticus","species","329606","Rhaetian","","208.5","201.4","8834","135"
"349035","occ","","","33194","Tirolites n. sp. pacificus","species","173253","recombined as","Keyserlingites pacificus","species","173253","Spathian","","248.9","247.2","8855","652"
"349036","occ","","","33194","Keyserlingites ? sp.","genus","14199","","Keyserlingites","genus","14199","Spathian","","248.9","247.2","8848","652"
"349037","occ","","","33194","Acrochordiceras n. sp. inyoense","species","173263","recombined as","Pseudacrochordiceras inyoense","species","173263","Spathian","","248.9","247.2","8848","652"
"349038","occ","","","33194","Hungarites n. sp. yatesi","species","173255","recombined as","Subhungarites yatesi","species","173255","Spathian","","248.9","247.2","8855","652"
"349039","occ","","","33194","Paranannites n. sp. oviformis","species","265434","","Paranannites oviformis","species","265434","Spathian","","248.9","247.2","8848","652"
"349040","occ","","","33194","Popanoceras (Parapopanoceras) n. sp. haugi","species","173261","recombined as","Neopopanoceras haugi","species","173261","Spathian","","248.9","247.2","8855","652"
"349041","occ","","","33194","Xenodiscus n. sp. bittneri","species","173259","recombined as","Inyoceras bittneri","species","173259","Spathian","","248.9","247.2","8855","652"
